Mode_of_Transport,Departure_Station,Arrival_Station,Departure_Time,Passenger_Count,Fare_Amount,Trip_Duration_Minutes,Trip_Date,Day_of_Week,Hour,time_of_day,Revenue,Route,Is_Weekend
FERRY,North Station,Airport,2024-01-01 06:29:00,20.0,25.403856477451566,110.0,2024-01-02,Tuesday,6,Morning,508.0771295490313,North Station → Airport,False
TRAM,North Station,Airport,2024-01-01 06:30:00,48.0,48.95956520115304,19.0,2024-01-02,Tuesday,6,Morning,2350.0591296553457,North Station → Airport,False
BUS,North Station,Central,2024-01-01 06:31:00,24.0,30.37290825414724,67.0,2024-01-02,Tuesday,6,Morning,728.9497980995338,North Station → Central,False
BUS,Downtown,Airport,2024-01-01 06:32:00,48.0,25.403856477451566,171.0,2024-01-02,Tuesday,6,Morning,1219.385110917675,Downtown → Airport,False
FERRY,West End,South Point,2024-01-01 06:33:00,26.0,32.56696357653115,17.0,2024-01-02,Tuesday,6,Morning,846.74105298981,West End → South Point,False
FERRY,Downtown,South Point,2024-01-01 06:34:00,37.0,25.403856477451566,85.0,2024-01-02,Tuesday,6,Morning,939.9426896657079,Downtown → South Point,False
FERRY, Central ,South Point,2024-01-01 06:35:00,85.0,44.48862447313724,36.0,2024-01-02,Tuesday,6,Morning,3781.5330802166654, Central  → South Point,False
TRAIN,North Station,Central,2024-01-01 06:36:00,54.0,25.4026555636019,141.0,2024-01-02,Tuesday,6,Morning,1371.7434004345025,North Station → Central,False
TRAM,North Station,Airport,2024-01-01 06:37:00,21.0,22.74281223096228,44.0,2024-01-02,Tuesday,6,Morning,477.5990568502079,North Station → Airport,False
TRAM,Downtown,Central,2024-01-01 06:38:00,74.0,29.5003070284492,152.0,2024-01-02,Tuesday,6,Morning,2183.0227201052408,Downtown → Central,False
FERRY,Downtown,South Point,2024-01-01 06:39:00,38.0,31.42680120807542,97.5,2024-01-02,Tuesday,6,Morning,1194.218445906866,Downtown → South Point,False
TRAIN,West End,Airport,2024-01-01 06:40:00,46.0,25.403856477451566,81.0,2024-01-02,Tuesday,6,Morning,1168.577397962772,West End → Airport,False
TRAIN,South Point,Airport,2024-01-01 06:41:00,4.0,34.28955245055842,80.0,2024-01-02,Tuesday,6,Morning,137.15820980223367,South Point → Airport,False
FERRY,West End,Downtown,2024-01-01 06:42:00,60.0,12.47561817561872,176.0,2024-01-02,Tuesday,6,Morning,748.5370905371233,West End → Downtown,False
TRAIN,Downtown,Downtown,2024-01-01 06:43:00,57.0,35.8406553090762,42.0,2024-01-02,Tuesday,6,Morning,2042.9173526173433,Downtown → Downtown,False
FERRY,Airport,West End,2024-01-01 06:44:00,45.0,41.21547232201774,75.0,2024-01-02,Tuesday,6,Morning,1854.6962544907983,Airport → West End,False
FERRY,Downtown,North Station,2024-01-01 06:45:00,20.0,40.29594612384975,52.0,2024-01-02,Tuesday,6,Morning,805.918922476995,Downtown → North Station,False
FERRY,Airport,Downtown,2024-01-01 06:46:00,17.0,27.84879788669051,22.0,2024-01-02,Tuesday,6,Morning,473.4295640737387,Airport → Downtown,False
TRAM,Central,Central,2024-01-01 06:47:00,71.0,26.24840966938218,148.0,2024-01-02,Tuesday,6,Morning,1863.637086526135,Central → Central,False
BUS,Downtown,Downtown,2024-01-01 06:48:00,4.0,7.57236008630088,43.0,2024-01-03,Wednesday,6,Morning,30.28944034520352,Downtown → Downtown,False
FERRY,Central,West End,2024-01-01 06:49:00,48.0,38.87963444495522,93.0,2024-01-03,Wednesday,6,Morning,1866.2224533578506,Central → West End,False
BUS,South Point,Airport,2024-01-01 06:50:00,14.0,13.93476433211236,66.0,2024-01-03,Wednesday,6,Morning,195.08670064957303,South Point → Airport,False
FERRY,West End,West End,2024-01-01 06:51:00,3.0,25.08642342948835,145.0,2024-01-03,Wednesday,6,Morning,75.25927028846505,West End → West End,False
FERRY,Airport,Airport,2024-01-01 06:52:00,88.0,14.57156759991208,113.0,2024-01-03,Wednesday,6,Morning,1282.297948792263,Airport → Airport,False
BUS,West End,Airport,2024-01-01 06:53:00,80.0,25.403856477451566,85.0,2024-01-03,Wednesday,6,Morning,2032.3085181961253,West End → Airport,False
BUS,Central,North Station,2024-01-01 06:54:00,58.0,31.66310599614096,97.5,2024-01-03,Wednesday,6,Morning,1836.4601477761757,Central → North Station,False
FERRY,Airport,Downtown,2024-01-01 06:55:00,55.0,3.18943572373374,81.0,2024-01-03,Wednesday,6,Morning,175.4189648053557,Airport → Downtown,False
TRAIN,West End,Central,2024-01-01 06:56:00,4.0,37.5579390892469,94.0,2024-01-03,Wednesday,6,Morning,150.2317563569876,West End → Central,False
TRAM,Downtown,Central,2024-01-01 06:57:00,24.0,16.22054636542527,18.0,2024-01-03,Wednesday,6,Morning,389.2931127702065,Downtown → Central,False
BUS,North Station,South Point,2024-01-01 06:58:00,34.0,0.5066673037220233,99.0,2024-01-03,Wednesday,6,Morning,17.226688326548793,North Station → South Point,False
TRAM,Central,Airport,2024-01-01 06:59:00,30.0,25.80089239224288,58.0,2024-01-03,Wednesday,6,Morning,774.0267717672864,Central → Airport,False
TRAIN,West End,Central,2024-01-01 07:00:00,82.0,25.403856477451566,136.0,2024-01-03,Wednesday,7,Morning,2083.1162311510284,West End → Central,False
TRAIN,Central,North Station,2024-01-01 07:01:00,19.0,14.17039311213452,43.0,2024-01-03,Wednesday,7,Morning,269.23746913055584,Central → North Station,False
TRAIN,Central,airport,2024-01-01 07:02:00,31.0,35.49533612905795,76.0,2024-01-03,Wednesday,7,Morning,1100.3554200007964,Central → airport,False
BUS,Airport,North Station,2024-01-01 07:03:00,48.0,3.60313627028236,29.0,2024-01-03,Wednesday,7,Morning,172.9505409735533,Airport → North Station,False
FERRY,Airport,Central,2024-01-01 07:04:00,48.0,42.04725537162211,81.0,2024-01-03,Wednesday,7,Morning,2018.2682578378613,Airport → Central,False
BUS, Central ,Central,2024-01-01 07:05:00,19.0,0.6890861715998639,164.0,2024-01-03,Wednesday,7,Morning,13.092637260397414, Central  → Central,False
TRAIN,Downtown,South Point,2024-01-01 07:06:00,49.0,12.71778152549416,170.0,2024-01-03,Wednesday,7,Morning,623.1712947492139,Downtown → South Point,False
TRAM,Central,Central,2024-01-01 07:07:00,63.0,37.17475077952754,124.0,2024-01-03,Wednesday,7,Morning,2342.009299110235,Central → Central,False
TRAM,West End,Airport,2024-01-01 07:08:00,83.0,16.15537241160069,57.0,2024-01-03,Wednesday,7,Morning,1340.8959101628573,West End → Airport,False
FERRY,South Point,Airport,2024-01-01 07:09:00,22.0,5.54367320926767,160.0,2024-01-03,Wednesday,7,Morning,121.96081060388875,South Point → Airport,False
TRAM,Central,Airport,2024-01-01 07:10:00,24.0,18.33157898062118,135.0,2024-01-03,Wednesday,7,Morning,439.95789553490835,Central → Airport,False
FERRY,Central,South Point,2024-01-01 07:11:00,76.0,13.88446767603401,154.0,2024-01-03,Wednesday,7,Morning,1055.2195433785848,Central → South Point,False
TRAM,North Station,airport,2024-01-01 07:12:00,30.0,42.21423915694747,100.0,2024-01-04,Thursday,7,Morning,1266.4271747084242,North Station → airport,False
BUS,Downtown,Central,2024-01-01 07:13:00,58.0,16.01072192046458,170.0,2024-01-04,Thursday,7,Morning,928.6218713869456,Downtown → Central,False
BUS,South Point,West End,2024-01-01 07:14:00,31.0,39.55215735291236,76.0,2024-01-04,Thursday,7,Morning,1226.116877940283,South Point → West End,False
FERRY,Airport,West End,2024-01-01 07:15:00,64.0,44.64767116813137,97.5,2024-01-04,Thursday,7,Morning,2857.4509547604075,Airport → West End,False
TRAIN,Airport,South Point,2024-01-01 07:16:00,19.0,21.97396226903821,10.0,2024-01-04,Thursday,7,Morning,417.505283111726,Airport → South Point,False
BUS,West End,Central,2024-01-01 07:17:00,48.0,45.5421856207924,36.0,2024-01-04,Thursday,7,Morning,2186.0249097980354,West End → Central,False
TRAM,South Point,West End,2024-01-01 07:18:00,45.0,19.17724367117805,103.0,2024-01-04,Thursday,7,Morning,862.9759652030123,South Point → West End,False
TRAIN,Airport,airport,2024-01-01 07:19:00,94.0,48.22188161626035,142.0,2024-01-04,Thursday,7,Morning,4532.856871928473,Airport → airport,False
TRAM,West End,Central,2024-01-01 07:20:00,55.0,4.91983146401586,135.0,2024-01-04,Thursday,7,Morning,270.5907305208723,West End → Central,False
TRAIN,Downtown,Central,2024-01-01 07:21:00,55.0,34.50745369191051,80.0,2024-01-04,Thursday,7,Morning,1897.9099530550782,Downtown → Central,False
TRAIN, Central ,Downtown,2024-01-01 07:22:00,48.0,24.94379500261797,63.0,2024-01-04,Thursday,7,Morning,1197.3021601256626, Central  → Downtown,False
TRAIN,Airport,Airport,2024-01-01 07:23:00,18.0,19.68861587005453,35.0,2024-01-04,Thursday,7,Morning,354.3950856609815,Airport → Airport,False
TRAIN,North Station,Central,2024-01-01 07:24:00,63.0,31.81923799805574,97.0,2024-01-04,Thursday,7,Morning,2004.6119938775116,North Station → Central,False
TRAIN,North Station,Downtown,2024-01-01 07:25:00,92.0,35.34092603589939,73.0,2024-01-04,Thursday,7,Morning,3251.3651953027443,North Station → Downtown,False
TRAM,North Station,South Point,2024-01-01 07:26:00,47.0,0.7159818476902998,56.0,2024-01-04,Thursday,7,Morning,33.65114684144409,North Station → South Point,False
TRAIN,Airport,West End,2024-01-01 07:27:00,75.0,8.764177892986337,93.0,2024-01-04,Thursday,7,Morning,657.3133419739753,Airport → West End,False
BUS,North Station,Airport,2024-01-01 07:28:00,48.0,35.79577950639877,131.0,2024-01-04,Thursday,7,Morning,1718.197416307141,North Station → Airport,False
FERRY,South Point,West End,2024-01-01 07:29:00,45.0,33.48607797212122,173.0,2024-01-04,Thursday,7,Morning,1506.873508745455,South Point → West End,False
TRAIN,Downtown,Airport,2024-01-01 07:30:00,48.0,48.31935150386952,35.0,2024-01-04,Thursday,7,Morning,2319.328872185737,Downtown → Airport,False
TRAIN,West End,airport,2024-01-01 07:31:00,17.0,38.17137061741376,88.0,2024-01-04,Thursday,7,Morning,648.9133004960339,West End → airport,False
TRAM,West End,Airport,2024-01-01 07:32:00,70.0,47.56324903270124,131.0,2024-01-04,Thursday,7,Morning,3329.427432289087,West End → Airport,False
TRAIN,Airport,West End,2024-01-01 07:33:00,4.0,35.27575482597295,154.0,2024-01-04,Thursday,7,Morning,141.1030193038918,Airport → West End,False
TRAIN,North Station,West End,2024-01-01 07:34:00,20.0,15.25358432765244,97.5,2024-01-04,Thursday,7,Morning,305.07168655304883,North Station → West End,False
TRAIN,North Station,West End,2024-01-01 07:35:00,47.0,25.403856477451566,17.0,2024-01-04,Thursday,7,Morning,1193.9812544402237,North Station → West End,False
TRAM,Central,West End,2024-01-01 07:36:00,91.0,39.20028123557431,97.5,2024-01-05,Friday,7,Morning,3567.225592437262,Central → West End,False
FERRY,Downtown,airport,2024-01-01 07:37:00,15.0,32.38538646305784,131.0,2024-01-05,Friday,7,Morning,485.7807969458676,Downtown → airport,False
FERRY,South Point,Central,2024-01-01 07:38:00,70.0,2.885207613468163,174.0,2024-01-05,Friday,7,Morning,201.9645329427714,South Point → Central,False
FERRY,West End,North Station,2024-01-01 07:39:00,47.0,18.32249806209843,118.0,2024-01-05,Friday,7,Morning,861.1574089186262,West End → North Station,False
TRAIN,Central,Downtown,2024-01-01 07:40:00,78.0,47.86159086647216,24.0,2024-01-05,Friday,7,Morning,3733.204087584829,Central → Downtown,False
FERRY,Central,North Station,2024-01-01 07:41:00,75.0,25.26985671265496,97.5,2024-01-05,Friday,7,Morning,1895.239253449122,Central → North Station,False
TRAM,Airport,airport,2024-01-01 07:42:00,9.0,21.92009223297538,168.0,2024-01-05,Friday,7,Morning,197.28083009677843,Airport → airport,False
BUS,West End,Airport,2024-01-01 07:43:00,48.0,23.15613045538505,133.0,2024-01-05,Friday,7,Morning,1111.4942618584823,West End → Airport,False
TRAIN,Airport,Central,2024-01-01 07:44:00,16.0,10.83969483825561,147.0,2024-01-05,Friday,7,Morning,173.43511741208977,Airport → Central,False
BUS,South Point,Airport,2024-01-01 07:45:00,69.0,18.75100495780736,21.0,2024-01-05,Friday,7,Morning,1293.8193420887078,South Point → Airport,False
BUS,Central,Central,2024-01-01 07:46:00,61.0,18.80575617136524,156.0,2024-01-05,Friday,7,Morning,1147.1511264532796,Central → Central,False
TRAIN,Central,Central,2024-01-01 07:47:00,10.0,3.091573499279884,62.0,2024-01-05,Friday,7,Morning,30.91573499279884,Central → Central,False
FERRY,Downtown,West End,2024-01-01 07:48:00,50.0,38.49459761163696,76.0,2024-01-05,Friday,7,Morning,1924.7298805818482,Downtown → West End,False
BUS,South Point,South Point,2024-01-01 07:49:00,3.0,21.11696937924201,113.0,2024-01-05,Friday,7,Morning,63.35090813772604,South Point → South Point,False
FERRY,Central,West End,2024-01-01 07:50:00,77.0,41.19790439741296,27.0,2024-01-05,Friday,7,Morning,3172.238638600798,Central → West End,False
BUS,South Point,South Point,2024-01-01 07:51:00,94.0,42.59222605543482,178.0,2024-01-05,Friday,7,Morning,4003.669249210873,South Point → South Point,False
TRAM,West End,Airport,2024-01-01 07:52:00,48.0,25.403856477451566,76.0,2024-01-05,Friday,7,Morning,1219.385110917675,West End → Airport,False
TRAM,North Station,South Point,2024-01-01 07:53:00,81.0,33.03899736742137,12.0,2024-01-05,Friday,7,Morning,2676.158786761131,North Station → South Point,False
TRAM,Central,Airport,2024-01-01 07:54:00,48.0,23.8779493060676,63.0,2024-01-05,Friday,7,Morning,1146.1415666912449,Central → Airport,False
BUS,Downtown,North Station,2024-01-01 07:55:00,19.0,44.06775852711351,115.0,2024-01-05,Friday,7,Morning,837.2874120151567,Downtown → North Station,False
BUS,West End,North Station,2024-01-01 07:56:00,42.0,11.17916361923448,17.0,2024-01-05,Friday,7,Morning,469.52487200784816,West End → North Station,False
BUS,South Point,South Point,2024-01-01 07:57:00,35.0,34.05175341534719,171.0,2024-01-05,Friday,7,Morning,1191.8113695371517,South Point → South Point,False
FERRY,Airport,South Point,2024-01-01 07:58:00,46.0,25.403856477451566,160.0,2024-01-05,Friday,7,Morning,1168.577397962772,Airport → South Point,False
BUS,West End,Airport,2024-01-01 07:59:00,26.0,15.11742313980572,97.5,2024-01-05,Friday,7,Morning,393.0530016349487,West End → Airport,False
BUS,Central,West End,2024-01-01 08:00:00,69.0,7.261744730733044,123.0,2024-01-06,Saturday,8,Morning,501.06038642058,Central → West End,True
BUS,South Point,Airport,2024-01-01 08:01:00,93.0,32.75616814362519,6.0,2024-01-06,Saturday,8,Morning,3046.3236373571426,South Point → Airport,True
FERRY,North Station,airport,2024-01-01 08:02:00,64.0,37.06057417755037,149.0,2024-01-06,Saturday,8,Morning,2371.876747363224,North Station → airport,True
BUS,West End,North Station,2024-01-01 08:03:00,37.0,25.403856477451566,97.5,2024-01-06,Saturday,8,Morning,939.9426896657079,West End → North Station,True
BUS,Central,Central,2024-01-01 08:04:00,84.0,32.41921389910453,107.0,2024-01-06,Saturday,8,Morning,2723.2139675247804,Central → Central,True
TRAM,Downtown,South Point,2024-01-01 08:05:00,49.0,20.05897992676941,17.0,2024-01-06,Saturday,8,Morning,982.8900164117011,Downtown → South Point,True
FERRY,Airport,West End,2024-01-01 08:06:00,21.0,35.80374072248958,100.0,2024-01-06,Saturday,8,Morning,751.8785551722812,Airport → West End,True
FERRY,South Point,Airport,2024-01-01 08:07:00,74.0,25.403856477451566,98.0,2024-01-06,Saturday,8,Morning,1879.8853793314158,South Point → Airport,True
FERRY,West End,North Station,2024-01-01 08:08:00,64.0,44.56564263049063,86.0,2024-01-06,Saturday,8,Morning,2852.2011283514003,West End → North Station,True
BUS,West End,West End,2024-01-01 08:09:00,5.0,14.7267750250462,17.0,2024-01-06,Saturday,8,Morning,73.633875125231,West End → West End,True
FERRY,North Station,Airport,2024-01-01 08:10:00,70.0,18.70540639392957,175.0,2024-01-06,Saturday,8,Morning,1309.37844757507,North Station → Airport,True
FERRY,North Station,South Point,2024-01-01 08:11:00,90.0,3.375551627977314,98.0,2024-01-06,Saturday,8,Morning,303.79964651795825,North Station → South Point,True
BUS,Downtown,South Point,2024-01-01 08:12:00,4.0,6.019854509903181,153.0,2024-01-06,Saturday,8,Morning,24.079418039612722,Downtown → South Point,True
FERRY,Airport,Downtown,2024-01-01 08:13:00,39.0,26.03516418426024,116.0,2024-01-06,Saturday,8,Morning,1015.3714031861493,Airport → Downtown,True
BUS,Downtown,Central,2024-01-01 08:14:00,35.0,25.403856477451566,97.5,2024-01-06,Saturday,8,Morning,889.1349767108048,Downtown → Central,True
BUS,Central,Downtown,2024-01-01 08:15:00,48.0,41.85627117423862,85.0,2024-01-06,Saturday,8,Morning,2009.1010163634537,Central → Downtown,True
FERRY,Central,North Station,2024-01-01 08:16:00,24.0,1.227322738420215,172.0,2024-01-06,Saturday,8,Morning,29.45574572208516,Central → North Station,True
TRAIN,Downtown,West End,2024-01-01 08:17:00,57.0,19.26515540926084,120.0,2024-01-06,Saturday,8,Morning,1098.1138583278678,Downtown → West End,True
BUS,Airport,airport,2024-01-01 08:18:00,70.0,17.19860456507009,147.0,2024-01-06,Saturday,8,Morning,1203.9023195549064,Airport → airport,True
TRAM,Downtown,Airport,2024-01-01 08:19:00,41.0,1.456717730421251,112.0,2024-01-06,Saturday,8,Morning,59.725426947271295,Downtown → Airport,True
FERRY,Airport,South Point,2024-01-01 08:20:00,54.0,6.656235750525256,57.0,2024-01-06,Saturday,8,Morning,359.4367305283638,Airport → South Point,True
BUS,Airport,Downtown,2024-01-01 08:21:00,46.0,20.97531240847244,132.0,2024-01-06,Saturday,8,Morning,964.8643707897322,Airport → Downtown,True
TRAM,South Point,Downtown,2024-01-01 08:22:00,60.0,24.89679693014861,162.0,2024-01-06,Saturday,8,Morning,1493.8078158089165,South Point → Downtown,True
TRAIN,Airport,Downtown,2024-01-01 08:23:00,60.0,20.51234248911602,165.0,2024-01-06,Saturday,8,Morning,1230.7405493469612,Airport → Downtown,True
BUS,North Station,airport,2024-01-01 08:24:00,57.0,25.403856477451566,61.0,2024-01-07,Sunday,8,Morning,1448.0198192147393,North Station → airport,True
FERRY,Airport,South Point,2024-01-01 08:25:00,31.0,29.95901790783124,56.0,2024-01-07,Sunday,8,Morning,928.7295551427684,Airport → South Point,True
FERRY,Airport,West End,2024-01-01 08:26:00,84.0,0.9912291458278637,141.0,2024-01-07,Sunday,8,Morning,83.26324824954055,Airport → West End,True
TRAIN,Airport,Airport,2024-01-01 08:27:00,24.0,23.47271039294844,115.0,2024-01-07,Sunday,8,Morning,563.3450494307625,Airport → Airport,True
BUS,Central,West End,2024-01-01 08:28:00,89.0,48.19321242393562,5.0,2024-01-07,Sunday,8,Morning,4289.19590573027,Central → West End,True
FERRY,North Station,North Station,2024-01-01 08:29:00,36.0,26.19209786641266,48.0,2024-01-07,Sunday,8,Morning,942.9155231908558,North Station → North Station,True
TRAM,North Station,Airport,2024-01-01 08:30:00,85.0,34.03834223921818,97.5,2024-01-07,Sunday,8,Morning,2893.2590903335454,North Station → Airport,True
FERRY,Downtown,Downtown,2024-01-01 08:31:00,30.0,15.93726096688572,102.0,2024-01-07,Sunday,8,Morning,478.1178290065716,Downtown → Downtown,True
FERRY,South Point,airport,2024-01-01 08:32:00,24.0,38.81257321856175,13.0,2024-01-07,Sunday,8,Morning,931.501757245482,South Point → airport,True
FERRY,Airport,North Station,2024-01-01 08:33:00,30.0,38.7596133528677,36.0,2024-01-07,Sunday,8,Morning,1162.788400586031,Airport → North Station,True
BUS,West End,North Station,2024-01-01 08:34:00,86.0,26.30415435887988,19.0,2024-01-07,Sunday,8,Morning,2262.15727486367,West End → North Station,True
FERRY,South Point,South Point,2024-01-01 08:35:00,92.0,48.81268425232107,144.0,2024-01-07,Sunday,8,Morning,4490.766951213538,South Point → South Point,True
BUS,South Point,West End,2024-01-01 08:36:00,7.0,6.714735630751342,140.0,2024-01-07,Sunday,8,Morning,47.003149415259394,South Point → West End,True
FERRY,North Station,airport,2024-01-01 08:37:00,35.0,1.338909412034259,76.0,2024-01-07,Sunday,8,Morning,46.86182942119907,North Station → airport,True
FERRY,South Point,North Station,2024-01-01 08:38:00,55.0,38.62283148197625,159.0,2024-01-07,Sunday,8,Morning,2124.2557315086938,South Point → North Station,True
FERRY,Airport,Downtown,2024-01-01 08:39:00,92.0,40.45419909956168,97.5,2024-01-07,Sunday,8,Morning,3721.786317159674,Airport → Downtown,True
BUS,Airport,Downtown,2024-01-01 08:40:00,14.0,6.450257841468524,69.0,2024-01-07,Sunday,8,Morning,90.30360978055933,Airport → Downtown,True
BUS,Central,Airport,2024-01-01 08:41:00,10.0,13.646350231451,111.0,2024-01-07,Sunday,8,Morning,136.46350231451,Central → Airport,True
TRAIN,Airport,Central,2024-01-01 08:42:00,48.0,1.368841986648131,46.0,2024-01-07,Sunday,8,Morning,65.70441535911029,Airport → Central,True
FERRY,Airport,South Point,2024-01-01 08:43:00,16.0,15.01877623363795,119.0,2024-01-07,Sunday,8,Morning,240.3004197382072,Airport → South Point,True
FERRY,North Station,Central,2024-01-01 08:44:00,54.0,38.77052275897424,143.0,2024-01-07,Sunday,8,Morning,2093.608228984609,North Station → Central,True
TRAIN,Airport,Airport,2024-01-01 08:45:00,95.0,26.13904612177266,107.0,2024-01-07,Sunday,8,Morning,2483.209381568403,Airport → Airport,True
FERRY,Central,Downtown,2024-01-01 08:46:00,89.0,17.73073186183026,175.0,2024-01-07,Sunday,8,Morning,1578.0351357028933,Central → Downtown,True
FERRY,West End,West End,2024-01-01 08:47:00,77.0,18.90109509786335,99.0,2024-01-07,Sunday,8,Morning,1455.384322535478,West End → West End,True
BUS,North Station,Downtown,2024-01-01 08:48:00,70.0,0.5670044729156736,21.0,2024-01-08,Monday,8,Morning,39.69031310409715,North Station → Downtown,False
FERRY,West End,South Point,2024-01-01 08:49:00,44.0,15.34012611447918,164.0,2024-01-08,Monday,8,Morning,674.9655490370839,West End → South Point,False
FERRY,North Station,Downtown,2024-01-01 08:50:00,73.0,32.49970771107756,97.5,2024-01-08,Monday,8,Morning,2372.478662908662,North Station → Downtown,False
TRAIN,Downtown,South Point,2024-01-01 08:51:00,45.0,48.72262496890968,172.0,2024-01-08,Monday,8,Morning,2192.5181236009353,Downtown → South Point,False
TRAIN,South Point,South Point,2024-01-01 08:52:00,56.0,42.42951093570303,155.0,2024-01-08,Monday,8,Morning,2376.0526123993695,South Point → South Point,False
TRAM,Downtown,South Point,2024-01-01 08:53:00,84.0,1.667950749953692,97.5,2024-01-08,Monday,8,Morning,140.10786299611013,Downtown → South Point,False
BUS,Airport,Airport,2024-01-01 08:54:00,82.0,44.97874993140455,138.0,2024-01-08,Monday,8,Morning,3688.2574943751733,Airport → Airport,False
FERRY,West End,South Point,2024-01-01 08:55:00,57.0,39.26832145828198,90.0,2024-01-08,Monday,8,Morning,2238.294323122073,West End → South Point,False
BUS,Airport,airport,2024-01-01 08:56:00,21.0,39.12861811676353,106.0,2024-01-08,Monday,8,Morning,821.7009804520342,Airport → airport,False
FERRY,South Point,West End,2024-01-01 08:57:00,68.0,23.17079007067679,169.0,2024-01-08,Monday,8,Morning,1575.6137248060218,South Point → West End,False
